Thread ID: 214780
Total: 6.709303

 %self     total     self     wait    child    calls  name
  0.06      0.01     0.00     0.00     0.01      100  <Class::ActiveRecord::Base>#define_attr_method
  0.06      0.62     0.00     0.00     0.62      700  Kernel#send-2
  0.06      0.01     0.00     0.00     0.00      300  <Class::ActiveRecord::Base>#connected?
  0.06      0.01     0.00     0.00     0.01      602  <Module::Benchmark>#times
  0.06      0.01     0.00     0.00     0.01      100  <Class::ActiveRecord::Base>#add_conditions!
  0.06      0.00     0.00     0.00     0.00      400  <Module::SQLite3::Error>#check
  0.05      0.40     0.00     0.00     0.40      100  <Class::ActionController::Base>#hidden_actions
  0.05      0.00     0.00     0.00     0.00     1400  String#strip
  0.05      0.01     0.00     0.00     0.00      300  Mime::Type::AcceptItem#==
  0.05      0.08     0.00     0.00     0.08      600  Kernel#send-3
  0.05      0.02     0.00     0.00     0.02      200  HashWithIndifferentAccess#initialize
  0.05      0.11     0.00     0.00     0.11      100  ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.05      0.04     0.00     0.00     0.03      100  ActionController::Layout#active_layout
  0.05      0.01     0.00     0.00     0.00      100  <Class::ActiveRecord::Base>#parse_sqlite_config!
  0.05      0.01     0.00     0.00     0.00      600  <Class::Mime::Type>#lookup
  0.05      0.28     0.00     0.00     0.28      100  <Class::ActiveRecord::Base>#find
  0.05      0.03     0.00     0.00     0.02      100  Class#inherited_without_layout
  0.05      0.00     0.00     0.00     0.00      900  <Module::Dependencies>#loaded
  0.05      0.83     0.00     0.00     0.83      100  ActionController::MimeResponds::InstanceMethods#respond_to
  0.05      0.01     0.00     0.00     0.01      200  CGI::Session::CookieStore#generate_digest
  0.05      0.02     0.00     0.00     0.01      100  Class#inherited
  0.05      0.00     0.00     0.00     0.00      200  ActionController::StatusCodes#interpret_status
  0.05      0.00     0.00     0.00     0.00     1100  String#tr
  0.05      0.07     0.00     0.00     0.07      200  ActionView::Base#file_exists?
  0.05      0.01     0.00     0.00     0.00      100  ActionController::Benchmarking#active_record_runtime
  0.05      0.00     0.00     0.00     0.00      400  ActionView::Base#path_and_extension
  0.05      1.44     0.00     0.00     1.44      100  ActionController::Routing::RouteSet#recognize
  0.05      0.83     0.00     0.00     0.83      800  Kernel#send!-1
  0.05      0.03     0.00     0.00     0.03      200  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.05      0.02     0.00     0.00     0.02      100  ActiveRecord::ConnectionAdapters::AbstractAdapter#log_info
  0.05      0.06     0.00     0.00     0.06      300  ActionController::Base#add_variables_to_assigns
  0.05      0.05     0.00     0.00     0.04      100  ActionController::Layout#pick_layout
  0.05      0.71     0.00     0.00     0.71      100  ActionController::Helpers::ClassMethods#inherited
  0.05      0.01     0.00     0.00     0.01      100  Array#map!
  0.05      0.00     0.00     0.00     0.00      500  Array#collect-1
  0.05      0.00     0.00     0.00     0.00     1400  Array#concat
  0.05      0.04     0.00     0.00     0.04      100  Inflector#pluralize
  0.05      0.01     0.00     0.00     0.00      100  ActiveRecord::ConnectionAdapters::AbstractAdapter#verify!
  0.05      0.02     0.00     0.00     0.01      100  SQLite3::Statement#execute
  0.05      3.41     0.00     0.00     3.41      100  ActionController::Filters::InstanceMethods#call_filters
  0.05      0.50     0.00     0.00     0.50      100  SQLite3::Database#load_driver
  0.05      1.02     0.00     0.00     1.02      100  <Class::ActiveRecord::Base>#connection=
  0.05      0.13     0.00     0.00     0.12      500  ActionView::Base#find_template_extension_for
  0.05      0.04     0.00     0.00     0.03      100  ActionView::Helpers::AssetTagHelper#stylesheet_link_tag
  0.05      0.00     0.00     0.00     0.00     1605  Float#-
  0.05      0.02     0.00     0.00     0.02      100  ActionController::Layout::ClassMethods#default_layout_with_format
  0.05      0.00     0.00     0.00     0.00      800  <Module::Dependencies>#load_paths
  0.05      0.12     0.00     0.00     0.12      100  ActiveRecord::ConnectionAdapters::QueryCache#cache_sql
  0.05      0.01     0.00     0.00     0.01      100  ActionController::Dispatcher#prepare_application
  0.05      0.00     0.00     0.00     0.00      200  <Class::OpenSSL::HMAC>#hexdigest
  0.05      0.02     0.00     0.00     0.01      100  CGI::Session::CookieStore#unmarshal
  0.05      0.00     0.00     0.00     0.00      800  String#sub
  0.05      0.00     0.00     0.00     0.00     1600  Fixnum#<=>
  0.05      0.16     0.00     0.00     0.15      100  ActionController::Dispatcher#cleanup_application
  0.04      0.01     0.00     0.00     0.00      100  ActionView::Helpers::TagHelper#tag_options
  0.04      0.09     0.00     0.00     0.09      100  ActionController::Base#assign_shortcuts_without_flash
  0.04      0.02     0.00     0.00     0.02      100  Array#sort!
  0.04      0.01     0.00     0.00     0.00      100  ActionController::AbstractRequest#path
  0.04      0.01     0.00     0.00     0.01      300  <Class::ActionController::Base>#view_paths
  0.04      4.55     0.00     0.00     4.54      600  Kernel#send
  0.04      0.03     0.00     0.00     0.03      100  ActionController::Layout::ClassMethods#default_layout
  0.04      1.42     0.00     0.00     1.42      100  <Class::ActionController::Base>#action_methods
  0.04      0.00     0.00     0.00     0.00      300  Module#extend_object
  0.04      0.03     0.00     0.00     0.03      300  ActionController::AbstractRequest#parameters
  0.04      0.00     0.00     0.00     0.00      200  ActionController::AbstractRequest#request_uri
  0.04      0.00     0.00     0.00     0.00      100  Module#parents
  0.04      0.02     0.00     0.00     0.02      100  ActionController::Base#assign_default_content_type_and_charset
  0.04      0.05     0.00     0.00     0.04      100  ActionController::Integration::Session::StubCGI#initialize
  0.04      0.00     0.00     0.00     0.00      100  ActionView::Helpers::UrlHelper#link_to
  0.04      0.00     0.00     0.00     0.00      300  <Class::ActionController::Base>#view_paths-1
  0.04      0.00     0.00     0.00     0.00      200  Module#append_features
  0.04      0.03     0.00     0.00     0.03      100  CGI::QueryExtension#initialize_query
  0.04      0.00     0.00     0.00     0.00      700  Kernel#===
  0.04      0.01     0.00     0.00     0.01      300  <Class::CGI>#unescape
  0.04      4.53     0.00     0.00     4.53      100  ActiveRecord::QueryCache#cache
  0.04      0.01     0.00     0.00     0.00      200  ActionController::AbstractRequest#ssl?
  0.04      0.02     0.00     0.00     0.02      100  CGI::Session::CookieStore#close
  0.04      0.00     0.00     0.00     0.00      900  Hash#update
  0.04      0.01     0.00     0.00     0.00      300  Dependencies#load_once_path?
  0.04      0.01     0.00     0.00     0.00      100  <Object::ActionController::Routing::Route>#recognize
  0.04      6.70     0.00     0.00     6.70      100  ActionController::Integration::Runner#get
  0.04      0.01     0.00     0.00     0.00      100  #<Module:0x125ec10>#new_widget_path
  0.04      0.03     0.00     0.00     0.03      100  SQLite3::Statement#initialize
  0.04      0.00     0.00     0.00     0.00     1000  Module#ancestors
  0.04      0.08     0.00     0.00     0.08      100  <Module::Benchmark>#realtime-1
  0.04      0.01     0.00     0.00     0.01      400  <Class::ActionController::Base>#master_helper_module
  0.04      0.01     0.00     0.00     0.00      100  ActionController::Routing::RouteSet#reload
  0.04      0.00     0.00     0.00     0.00      300  Array#inspect
